Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Asian American Resource Foundation,1998,"3635 Peachtree Industrial Blvd #450, Duluth, GA 30096  ",GA,DULUTH,GWINNETT,CSO,33.99751,-84.168547,geocodio,"3635 Peachtree Industrial Blvd #450, Duluth, GA 30096","3635 Peachtree Industrial Blvd, Ste 450, Duluth, GA 30096",1
Asian Counseling and Referral Service,1973,"3639 Martin Luther King Jr Way S, Seattle, WA 98108",WA,SEATTLE,KING,CSO,47.571631,-122.296584,geocodio,"3639 Martin Luther King Jr Way S, Seattle, WA 98108","3639 Martin Luther King Jr Way S, Seattle, WA 98144",1
Asian Pacific Islander Coalition,1996,"3639 Martin Luther King Jr. Way S, Seattle, WA 98144",WA,SEATTLE,KING,Advocacy,47.571631,-122.296584,geocodio,"3639 Martin Luther King Jr. Way S, Seattle, WA 98144","3639 Martin Luther King Jr Way S, Seattle, WA 98144",1
Minnesota Asian/American Health Coalition,1999,"3702 E Lake St, Suite 150, Minneapolis, MN, 55406",MN,MINNEAPOLIS,HENNEPIN,Advocacy,44.948359,-93.219109,geocodio,"3702 E Lake St, Suite 150, Minneapolis, MN, 55406","3702 E Lake St, Ste 150, Minneapolis, MN 55406",1
Washington Asian Pacific Islander Community Services,1990,"3722 S Hudson St, Seattle, WA 98118",WA,SEATTLE,KING,CSO,47.557223,-122.285091,geocodio,"3722 S Hudson St, Seattle, WA 98118","3722 S Hudson St, Seattle, WA 98118",1
Asian Community Development Corporation,1987,"38 OAK STREET, BOSTON, MA 02111",MA,BOSTON,SUFFOLK,Hybrid,42.348699,-71.063231,geocodio,"38 OAK STREET, BOSTON, MA 02111","38 Oak St, Boston, MA 02111",1
Asian Pacific Self-Development and Residential Association,1989,"3830 Alvarado Ave # C Stockton, CA 95204-2350",CA,STOCKTON,SAN JOAQUIN,CSO,37.986855,-121.289939,geocodio,"3830 Alvarado Ave # C Stockton, CA 95204-2350","3830 Alvarado Ave, Ste C, Stockton, CA 95204",1
Asian Pacific Self-Development and Residencial Association,1991,"3830 Alvarado Ave Ste C Stockton, CA 95204",CA,STOCKTON,SAN JOAQUIN,CSO,37.986855,-121.289939,geocodio,"3830 Alvarado Ave Ste C Stockton, CA 95204","3830 Alvarado Ave, Ste C, Stockton, CA 95204",1
Asian American Center of Santa Clara County,2000,3845 Wellington San Jose CA 95136,CA,SAN JOSE,SANTA CLARA,CSO,37.270491,-121.87771,geocodio,3845 Wellington San Jose CA 95136,"3845 Wellington Sq, San Jose, CA 95136",0.93
Asian American Community Center of Santa Clara County,2000,"3845 WELLINGTON SQ, SAN JOSE, CA 95136",CA,SAN JOSE,SANTA CLARA,CSO,37.270491,-121.87771,geocodio,"3845 WELLINGTON SQ, SAN JOSE, CA 95136","3845 Wellington Sq, San Jose, CA 95136",1
NY Coalition for Asian American Mental Health,1990,"39 Bowery PMB #133 New York, NY 10002",NY,NEW YORK,NEW YORK,CSO,40.714957,-73.995921,geocodio,"39 Bowery PMB #133 New York, NY 10002","39 Bowery, # 133, New York, NY 10002",1
Asian Health and Social Service Council,1978,"39 BOWERY PMB 135,NEW YORK , NY 10002",NY,NEW YORK,NEW YORK,CSO,40.714957,-73.995921,geocodio,"39 BOWERY PMB 135,NEW YORK , NY 10002","39 Bowery 135, New York, NY 10002",1
Asian and Pacific Islander Coalition on HIV/AIDS,1989,"400 Broadway New York, NY 10013",NY,NEW YORK,NEW YORK,CSO,40.718663,-74.002331,geocodio,"400 Broadway New York, NY 10013","400 Broadway, New York, NY 10013",1
Asian Pacific Environmental Network Action,1993,"400 Capitol Mall Sacramento, CA, 95814",CA,SACRAMENTO,SACRAMENTO,Advocacy,38.578423,-121.502482,geocodio,"400 Capitol Mall Sacramento, CA, 95814","400 Capitol Mall, Sacramento, CA 95814",1
